00:0E:8F:FE:DE:E4,00:1D:0F:EE:5A:9A,00:6B:8E:4A:37:8C,04:8D:38:C8:40:12,14:CC:20:A5:38:EA,14:DD:A9:F3:A2:B0,3C:33:00:A7:34:E6,48:02:2A:7B:16:9C,54:67:51:BB:3E:BC,54:B8:0A:4F:ED:3C,54:B8:0A:4F:F0:D8,56:67:11:BB:3E:BC,64:66:B3:45:13:46,64:66:B3:F7:8C:BC,78:54:2E:53:1E:E2,82:F3:A3:45:D5:98,88:53:D4:05:70:01,90:5C:44:F8:E8:F6,90:F6:52:A1:53:1A,92:5C:14:F8:E8:F6,9C:B2:B2:CC:4D:E0,BC:75:74:F4:C5:E2,BC:75:74:F4:C5:E5,BC:C0:0F:63:C3:80,C0:4A:00:DE:66:4C,C8:3A:35:06:A0:50,C8:3A:35:0F:D1:C8,C8:3A:35:19:06:E0,C8:3A:35:21:B8:38,C8:3A:35:3B:13:38,C8:3A:35:3F:7A:20,C8:3A:35:55:5E:68,D0:17:C2:A4:84:FC,D4:21:22:38:D6:C4,DC:53:7C:D8:A8:2B,DE:53:1C:D8:A8:2B,E8:94:F6:29:59:0C,E8:94:F6:41:4D:0C,E8:DE:27:43:64:CE,EC:08:6B:45:56:CC,F4:F2:6D:32:01:9C,F4:F2:6D:A7:B9:02,F8:D1:11:2B:93:68,F8:D1:11:3E:89:52,FC:75:16:78:FC:D3,x,y
-83,0,0,-76,0,-81,-69,0,0,0,0,-81,0,0,0,0,0,-77,-68,-78,0,0,0,-83,-72,-66,0,0,0,-77,0,-80,0,0,0,0,0,-66,0,0,-72,0,-83,-79,-75,1.609531,-1.614834
0,0,0,-77,0,-76,-73,0,-81,0,0,-82,0,0,0,0,0,-79,-66,-78,-83,0,0,-81,-71,-68,0,0,0,-72,0,-76,0,0,-76,-79,0,-55,0,0,-71,0,-82,-82,-81,2.866171,-0.530355
0,0,-84,-73,0,-80,-75,0,-79,0,-86,-80,-80,0,0,0,0,-82,-70,-80,-84,0,0,-83,-72,-66,0,0,-81,-78,0,-75,0,0,-83,0,0,-64,0,0,-72,0,-81,-83,-80,3.403811,0.175701
0,0,-86,-72,0,0,-76,-80,0,0,-80,0,0,0,0,0,0,-82,-69,-82,-84,0,0,0,-75,-72,0,0,0,-73,0,-77,0,0,0,0,0,-68,0,0,-72,0,-80,-83,-79,2.886801,1.458752
0,0,-83,-77,-79,0,-71,-78,0,0,0,0,0,-84,0,0,0,-79,-64,-79,-83,0,0,0,-71,-76,0,0,0,-68,0,-80,0,0,0,0,0,-64,0,0,-73,0,0,-81,-75,3.041393,2.261837
0,0,0,-81,-79,-83,-69,-80,0,0,-82,0,0,-80,0,0,0,-80,-68,-78,0,0,0,0,-70,-71,0,0,0,-78,-83,-74,0,0,0,0,0,-47,-78,0,-71,0,-81,-83,-76,3.184778,3.551867
0,0,0,-82,0,-81,-82,0,0,0,0,0,-84,0,0,0,0,-82,-67,-81,0,0,0,0,-71,0,0,0,0,-78,0,-81,0,0,0,0,0,-65,0,0,-77,0,0,0,-82,3.064957,4.363115
0,0,0,-85,0,-86,-78,-85,0,0,0,0,0,0,0,0,0,-82,-76,0,-87,0,0,0,-80,-75,0,0,0,-73,0,-76,0,0,0,0,0,-60,0,0,-83,0,0,0,0,2.334158,4.880316
0,0,0,0,0,-84,-83,0,0,0,0,0,-82,0,0,0,0,-83,-71,-83,-79,0,0,0,-76,-77,0,-83,0,-79,0,0,0,0,0,0,0,-65,0,0,-83,0,0,0,0,1.26037,4.469677
0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,-72,-83,0,0,0,-74,0,-84,0,0,0,0,0,-60,0,0,-81,-82,0,0,0,0.607929,4.294506
